2014-01-12 21:55:35 add tails-wheezy deb main i386 libjbigi-jni 0.9.9-1deb7u1
2014-01-12 21:55:35 add tails-wheezy deb main i386 i2p-router 0.9.9-1deb7u1
2014-01-12 21:55:35 add tails-wheezy deb main i386 i2p 0.9.9-1deb7u1
2014-01-12 21:55:35 add tails-wheezy dsc main source i2p 0.9.9-1deb7u1
2014-01-24 00:42:05 replace tails-wheezy deb main i386 libjbigi-jni 0.9.10-1deb7u1 0.9.9-1deb7u1
2014-01-24 00:42:05 replace tails-wheezy deb main i386 i2p-router 0.9.10-1deb7u1 0.9.9-1deb7u1
2014-01-24 00:42:05 replace tails-wheezy deb main i386 i2p 0.9.10-1deb7u1 0.9.9-1deb7u1
2014-01-24 00:42:05 replace tails-wheezy dsc main source i2p 0.9.10-1deb7u1 0.9.9-1deb7u1
2014-02-09 04:22:51 replace tails-wheezy deb main i386 libjbigi-jni 0.9.11-1deb7u1 0.9.10-1deb7u1
2014-02-09 04:22:51 replace tails-wheezy deb main i386 i2p-router 0.9.11-1deb7u1 0.9.10-1deb7u1
2014-02-09 04:22:51 replace tails-wheezy deb main i386 i2p 0.9.11-1deb7u1 0.9.10-1deb7u1
2014-02-09 04:22:51 replace tails-wheezy dsc main source i2p 0.9.11-1deb7u1 0.9.10-1deb7u1
2014-04-01 19:00:48 replace tails-wheezy deb main i386 libjbigi-jni 0.9.12-1~deb7u+1 0.9.11-1deb7u1
2014-04-01 19:00:48 replace tails-wheezy deb main i386 i2p-router 0.9.12-1~deb7u+1 0.9.11-1deb7u1
2014-04-01 19:00:48 replace tails-wheezy deb main i386 i2p 0.9.12-1~deb7u+1 0.9.11-1deb7u1
2014-04-01 19:00:48 replace tails-wheezy dsc main source i2p 0.9.12-1~deb7u+1 0.9.11-1deb7u1
2014-05-23 01:02:18 replace tails-wheezy deb main i386 libjbigi-jni 0.9.13-1~deb7u+1 0.9.12-1~deb7u+1
2014-05-23 01:02:18 replace tails-wheezy deb main i386 i2p-router 0.9.13-1~deb7u+1 0.9.12-1~deb7u+1
2014-05-23 01:02:18 add tails-wheezy deb main i386 i2p-doc 0.9.13-1~deb7u+1
2014-05-23 01:02:18 replace tails-wheezy deb main i386 i2p 0.9.13-1~deb7u+1 0.9.12-1~deb7u+1
2014-05-23 01:02:18 replace tails-wheezy dsc main source i2p 0.9.13-1~deb7u+1 0.9.12-1~deb7u+1
2014-07-27 02:42:47 replace tails-wheezy deb main i386 libjbigi-jni 0.9.13-1~deb7u+1 0.9.13-1~deb7u+1
2014-07-27 02:42:47 replace tails-wheezy deb main i386 i2p-router 0.9.14-1~deb7u+1 0.9.13-1~deb7u+1
2014-07-27 02:42:47 replace tails-wheezy deb main i386 i2p-doc 0.9.14-1~deb7u+1 0.9.13-1~deb7u+1
2014-07-27 02:42:47 replace tails-wheezy deb main i386 i2p 0.9.14-1~deb7u+1 0.9.13-1~deb7u+1
2014-07-27 02:42:47 replace tails-wheezy dsc main source i2p 0.9.14-1~deb7u+1 0.9.13-1~deb7u+1
2014-07-27 03:02:37 replace tails-wheezy deb main i386 libjbigi-jni 0.9.14-1~deb7u+1 0.9.13-1~deb7u+1
2014-07-27 03:02:37 replace tails-wheezy deb main i386 i2p-router 0.9.14-1~deb7u+1 0.9.14-1~deb7u+1
2014-07-27 03:02:37 replace tails-wheezy deb main i386 i2p-doc 0.9.14-1~deb7u+1 0.9.14-1~deb7u+1
2014-07-27 03:02:37 replace tails-wheezy deb main i386 i2p 0.9.14-1~deb7u+1 0.9.14-1~deb7u+1
2014-07-27 03:02:37 replace tails-wheezy dsc main source i2p 0.9.14-1~deb7u+1 0.9.14-1~deb7u+1
2014-08-10 02:00:00 replace tails-wheezy deb main i386 libjbigi-jni 0.9.14.1-1~deb7u+1 0.9.14-1~deb7u+1
2014-08-10 02:00:00 replace tails-wheezy deb main i386 i2p-router 0.9.14.1-1~deb7u+1 0.9.14-1~deb7u+1
2014-08-10 02:00:00 replace tails-wheezy deb main i386 i2p-doc 0.9.14.1-1~deb7u+1 0.9.14-1~deb7u+1
2014-08-10 02:00:00 replace tails-wheezy deb main i386 i2p 0.9.14.1-1~deb7u+1 0.9.14-1~deb7u+1
2014-08-10 02:00:00 replace tails-wheezy dsc main source i2p 0.9.14.1-1~deb7u+1 0.9.14-1~deb7u+1
2014-09-21 04:15:21 replace tails-wheezy deb main i386 libjbigi-jni 0.9.15-1~deb7u+1 0.9.14.1-1~deb7u+1
2014-09-21 04:15:21 replace tails-wheezy deb main i386 i2p-router 0.9.15-1~deb7u+1 0.9.14.1-1~deb7u+1
2014-09-21 04:15:21 replace tails-wheezy deb main i386 i2p-doc 0.9.15-1~deb7u+1 0.9.14.1-1~deb7u+1
2014-09-21 04:15:21 replace tails-wheezy deb main i386 i2p 0.9.15-1~deb7u+1 0.9.14.1-1~deb7u+1
2014-09-21 04:15:21 replace tails-wheezy dsc main source i2p 0.9.15-1~deb7u+1 0.9.14.1-1~deb7u+1
2014-09-25 19:26:17 add tails-wheezy deb main i386 i2p-keyring 2014.09.25
2014-09-25 19:26:17 add tails-wheezy dsc main source i2p-keyring 2014.09.25
2014-11-02 04:05:04 replace tails-wheezy deb main i386 libjbigi-jni 0.9.16-1~deb7u+1 0.9.15-1~deb7u+1
2014-11-02 04:05:04 replace tails-wheezy deb main i386 i2p-router 0.9.16-1~deb7u+1 0.9.15-1~deb7u+1
2014-11-02 04:05:04 replace tails-wheezy deb main i386 i2p-doc 0.9.16-1~deb7u+1 0.9.15-1~deb7u+1
2014-11-02 04:05:04 replace tails-wheezy deb main i386 i2p 0.9.16-1~deb7u+1 0.9.15-1~deb7u+1
2014-11-02 04:05:04 replace tails-wheezy dsc main source i2p 0.9.16-1~deb7u+1 0.9.15-1~deb7u+1
2014-12-01 04:29:04 replace tails-wheezy deb main i386 libjbigi-jni 0.9.17-1~deb7u+1 0.9.16-1~deb7u+1
2014-12-01 04:29:04 replace tails-wheezy deb main i386 i2p-router 0.9.17-1~deb7u+1 0.9.16-1~deb7u+1
2014-12-01 04:29:04 replace tails-wheezy deb main i386 i2p-doc 0.9.17-1~deb7u+1 0.9.16-1~deb7u+1
2014-12-01 04:29:04 replace tails-wheezy deb main i386 i2p 0.9.17-1~deb7u+1 0.9.16-1~deb7u+1
2014-12-01 04:29:04 replace tails-wheezy dsc main source i2p 0.9.17-1~deb7u+1 0.9.16-1~deb7u+1
2015-02-23 04:34:53 replace tails-wheezy deb main i386 libjbigi-jni 0.9.18-1~deb7u+1 0.9.17-1~deb7u+1
2015-02-23 04:34:53 replace tails-wheezy deb main i386 i2p-router 0.9.18-1~deb7u+1 0.9.17-1~deb7u+1
2015-02-23 04:34:53 replace tails-wheezy deb main i386 i2p-doc 0.9.18-1~deb7u+1 0.9.17-1~deb7u+1
2015-02-23 04:34:53 replace tails-wheezy deb main i386 i2p 0.9.18-1~deb7u+1 0.9.17-1~deb7u+1
2015-02-23 04:34:53 replace tails-wheezy dsc main source i2p 0.9.18-1~deb7u+1 0.9.17-1~deb7u+1
2015-04-13 22:00:52 replace tails-wheezy deb main i386 libjbigi-jni 0.9.19-1~deb7u+1 0.9.18-1~deb7u+1
2015-04-13 22:00:52 replace tails-wheezy deb main i386 i2p-router 0.9.19-1~deb7u+1 0.9.18-1~deb7u+1
2015-04-13 22:00:52 replace tails-wheezy deb main i386 i2p-doc 0.9.19-1~deb7u+1 0.9.18-1~deb7u+1
2015-04-13 22:00:52 replace tails-wheezy deb main i386 i2p 0.9.19-1~deb7u+1 0.9.18-1~deb7u+1
2015-04-13 22:00:52 replace tails-wheezy dsc main source i2p 0.9.19-1~deb7u+1 0.9.18-1~deb7u+1
2015-04-15 02:11:19 replace tails-wheezy deb main i386 libjbigi-jni 0.9.19-3~deb7u+1 0.9.19-1~deb7u+1
2015-04-15 02:11:19 replace tails-wheezy deb main i386 i2p-router 0.9.19-3~deb7u+1 0.9.19-1~deb7u+1
2015-04-15 02:11:19 replace tails-wheezy deb main i386 i2p-doc 0.9.19-3~deb7u+1 0.9.19-1~deb7u+1
2015-04-15 02:11:19 replace tails-wheezy deb main i386 i2p 0.9.19-3~deb7u+1 0.9.19-1~deb7u+1
2015-04-15 02:11:19 replace tails-wheezy dsc main source i2p 0.9.19-3~deb7u+1 0.9.19-1~deb7u+1
2015-06-06 23:21:30 replace tails-wheezy deb main i386 libjbigi-jni 0.9.19-3~deb7u+1 0.9.19-3~deb7u+1
2015-06-06 23:21:30 replace tails-wheezy deb main i386 i2p-router 0.9.20-1~deb7u+1 0.9.19-3~deb7u+1
2015-06-06 23:21:30 replace tails-wheezy deb main i386 i2p-doc 0.9.20-1~deb7u+1 0.9.19-3~deb7u+1
2015-06-06 23:21:30 replace tails-wheezy deb main i386 i2p 0.9.20-1~deb7u+1 0.9.19-3~deb7u+1
2015-06-06 23:21:30 replace tails-wheezy dsc main source i2p 0.9.20-1~deb7u+1 0.9.19-3~deb7u+1
2015-06-06 23:24:01 replace tails-wheezy deb main i386 libjbigi-jni 0.9.20-1~deb7u+1 0.9.19-3~deb7u+1
2015-06-06 23:24:01 replace tails-wheezy deb main i386 i2p-router 0.9.20-1~deb7u+1 0.9.20-1~deb7u+1
2015-06-06 23:24:01 replace tails-wheezy deb main i386 i2p-doc 0.9.20-1~deb7u+1 0.9.20-1~deb7u+1
2015-06-06 23:24:01 replace tails-wheezy deb main i386 i2p 0.9.20-1~deb7u+1 0.9.20-1~deb7u+1
2015-06-06 23:24:01 replace tails-wheezy dsc main source i2p 0.9.20-1~deb7u+1 0.9.20-1~deb7u+1
2015-06-23 12:21:16 replace tails-wheezy deb main i386 libjbigi-jni 0.9.20-2~deb7u+1 0.9.20-1~deb7u+1
2015-06-23 12:21:16 replace tails-wheezy deb main i386 i2p-router 0.9.20-2~deb7u+1 0.9.20-1~deb7u+1
2015-06-23 12:21:16 replace tails-wheezy deb main i386 i2p-doc 0.9.20-2~deb7u+1 0.9.20-1~deb7u+1
2015-06-23 12:21:16 replace tails-wheezy deb main i386 i2p 0.9.20-2~deb7u+1 0.9.20-1~deb7u+1
2015-06-23 12:21:16 replace tails-wheezy dsc main source i2p 0.9.20-2~deb7u+1 0.9.20-1~deb7u+1
2015-08-01 22:03:35 replace tails-wheezy deb main i386 libjbigi-jni 0.9.21-1~deb7u+1 0.9.20-2~deb7u+1
2015-08-01 22:03:35 replace tails-wheezy deb main i386 i2p-router 0.9.21-1~deb7u+1 0.9.20-2~deb7u+1
2015-08-01 22:03:35 replace tails-wheezy deb main i386 i2p-doc 0.9.21-1~deb7u+1 0.9.20-2~deb7u+1
2015-08-01 22:03:35 replace tails-wheezy deb main i386 i2p 0.9.21-1~deb7u+1 0.9.20-2~deb7u+1
2015-08-01 22:03:35 replace tails-wheezy dsc main source i2p 0.9.21-1~deb7u+1 0.9.20-2~deb7u+1
2015-09-13 20:50:10 replace tails-wheezy deb main i386 libjbigi-jni 0.9.22-1~deb7u+1 0.9.21-1~deb7u+1
2015-09-13 20:50:10 replace tails-wheezy deb main i386 i2p-router 0.9.22-1~deb7u+1 0.9.21-1~deb7u+1
2015-09-13 20:50:10 replace tails-wheezy deb main i386 i2p-doc 0.9.22-1~deb7u+1 0.9.21-1~deb7u+1
2015-09-13 20:50:10 replace tails-wheezy deb main i386 i2p 0.9.22-1~deb7u+1 0.9.21-1~deb7u+1
2015-09-13 20:50:10 replace tails-wheezy dsc main source i2p 0.9.22-1~deb7u+1 0.9.21-1~deb7u+1
2015-10-02 04:25:10 replace tails-wheezy deb main i386 i2p-keyring 2015.10.02 2014.09.25
2015-10-02 04:25:10 replace tails-wheezy dsc main source i2p-keyring 2015.10.02 2014.09.25
2015-10-02 04:38:16 replace tails-wheezy deb main i386 i2p-keyring 2015.10.02.1 2015.10.02
2015-10-02 04:38:16 replace tails-wheezy dsc main source i2p-keyring 2015.10.02.1 2015.10.02
2015-12-07 06:25:56 replace tails-wheezy deb main i386 libjbigi-jni 0.9.23-2~deb7u+1 0.9.22-1~deb7u+1
2015-12-07 06:25:56 replace tails-wheezy deb main i386 i2p-router 0.9.23-2~deb7u+1 0.9.22-1~deb7u+1
2015-12-07 06:25:56 replace tails-wheezy deb main i386 i2p-doc 0.9.23-2~deb7u+1 0.9.22-1~deb7u+1
2015-12-07 06:25:56 replace tails-wheezy deb main i386 i2p 0.9.23-2~deb7u+1 0.9.22-1~deb7u+1
2015-12-07 06:25:56 replace tails-wheezy dsc main source i2p 0.9.23-2~deb7u+1 0.9.22-1~deb7u+1
